0,1,58,0.81,64.76
1,1,54,0.55,35.11
2,1,50,0.62,60.24
3,1,34,0.84,69.97
4,1,58,0.59,36.89
5,0,74,0.73,54.9
6,1,55,0.79,68.51
7,1,57,0.58,52.56
8,1,71,0.9,66.15
9,0,25,0.81,73.38
10,1,32,0.7,43.13
11,1,38,0.95,95.51
12,1,54,0.58,48.25
13,1,57,0.68,55.06
14,0,45,0.63,70.67
15,0,43,0.75,65.46
16,1,44,0.39,18.54
17,1,67,0.49,31.44
18,0,39,0.87,82.97
19,0,48,0.59,47.69
20,0,59,0.5,58.13
21,0,38,0.81,61.87
22,1,42,0.81,73.11
23,0,39,0.82,88.67
24,1,49,0.75,73.41
25,1,59,0.7,52.23
26,1,25,0.83,57.78
27,1,35,0.79,51.72
28,0,68,0.75,55.02
29,0,52,0.64,59.67
30,0,45,0.78,60.12
31,1,60,0.59,56.74
32,1,34,0.77,61.49
33,1,65,0.93,99.65
34,0,52,0.82,72.61
35,1,58,0.51,44.15
36,0,14,0.78,73.46
37,0,37,0.83,59.76
38,1,50,0.82,67.12
39,0,30,0.59,57.61
40,0,60,0.8,57.81
41,1,65,0.79,54.33
42,0,66,0.47,44.17
43,0,62,0.73,59.15
44,1,61,0.83,85.31
45,1,49,0.72,55.15
46,0,33,0.97,65.24
47,1,37,0.52,22.53
48,0,49,0.95,96.66
49,0,2,0.88,84.86
50,0,50,0.64,64.38
51,0,29,0.82,63.9
52,0,63,0.85,62.53
53,0,42,0.39,29.73
54,0,73,0.85,66.75
55,0,56,0.83,81.35
56,1,35,0.89,95.87
57,1,59,0.63,46.61
58,1,66,0.81,55.52
59,0,54,0.93,85.68
60,1,45,0.9,64.23
61,0,43,0.64,39.27
62,0,45,0.87,67.62
63,0,62,0.82,78.95
64,0,63,0.55,46.29
65,1,62,0.6,51.56
66,1,87,0.92,86.99
67,0,75,0.57,47.92
68,0,42,0.68,64.87
69,1,33,0.55,39.48
70,1,46,0.21,0.01
71,0,64,0.78,71.11
72,1,72,0.98,84.09
73,1,75,0.95,84.78
74,1,62,0.96,93.72
75,1,21,0.76,60.08
76,1,38,0.7,55.72
77,1,41,0.6,69.06
78,1,43,0.69,56.34
79,1,37,0.51,45.73
80,1,56,0.77,62.7
81,0,29,0.63,57.92
82,1,62,0.75,52.76
83,0,63,0.73,54.79
84,1,30,0.5,46.04
85,0,37,0.87,88.3
86,0,56,0.96,80.3
87,1,53,0.56,44.72
88,1,73,0.82,57.02
89,1,65,0.7,78.22
90,1,76,0.92,71.3
91,1,57,0.65,61.24
92,0,54,0.91,44.52
93,1,32,0.82,70.51
94,1,38,0.75,60.66
95,1,41,0.73,47.39
96,0,23,0.74,62.38
97,1,42,0.73,81.64
98,1,44,0.84,76.49
99,1,54,0.89,76.28
100,1,58,0.75,77.59
101,0,72,0.79,83.0
102,1,45,0.67,51.11
103,0,44,0.53,51.03
104,0,46,0.69,75.5
105,1,35,0.68,60.44
106,1,48,0.76,50.11
107,1,57,0.47,35.27
108,0,33,0.96,81.19
109,0,67,0.93,75.57
110,1,26,0.51,33.01
111,1,35,0.79,70.32
112,0,38,0.88,62.22
113,0,27,0.9,70.61
114,0,43,0.55,30.18
115,1,27,0.53,47.05
116,1,49,0.78,78.46
117,1,47,0.73,55.8
118,0,55,0.88,85.08
119,1,30,0.64,62.47
120,1,26,0.86,68.78
121,0,41,0.94,81.19
122,0,66,0.82,84.37
123,0,55,0.71,56.0
124,1,43,0.83,61.2
125,0,72,0.72,55.71
126,0,15,0.85,88.68
127,0,33,0.66,64.06
128,0,49,0.72,59.76
129,1,29,0.62,52.76
130,1,44,0.6,52.73
131,1,38,0.7,39.91
132,1,87,0.72,61.15
133,0,76,0.47,49.86
134,0,32,0.85,83.11
136,0,58,0.65,48.4
137,1,59,0.78,66.35
138,0,47,0.63,50.26
139,0,63,0.56,40.77
140,1,43,0.96,86.45
141,0,46,0.88,77.31
142,0,47,0.61,60.39
143,0,22,0.79,76.8
144,0,9,0.85,73.07
145,0,46,0.8,85.87
146,1,37,0.76,57.67
147,0,76,0.87,65.32
148,0,50,0.8,64.62
149,0,35,0.95,92.89
150,0,53,0.83,79.93
151,1,79,0.73,81.53
152,0,36,0.7,68.78
153,0,64,0.85,68.55
154,1,44,0.3,20.76
155,0,60,0.89,78.43
156,1,29,0.8,71.61
157,0,56,0.92,80.75
158,0,29,0.89,79.44
159,1,43,0.69,65.42
160,1,40,0.42,45.22
161,0,39,0.78,70.32
162,1,43,0.9,76.12
163,0,36,0.87,63.01
164,1,68,0.71,73.21
165,0,40,0.53,48.83
166,0,56,0.6,54.26
167,1,69,0.45,49.71
168,0,64,0.84,77.96
169,0,69,0.55,44.01
170,0,52,0.85,83.19
171,0,74,0.82,78.87
172,0,48,0.85,70.64
173,1,64,0.87,64.86
174,1,55,0.73,40.19
175,1,33,0.93,81.3
176,0,70,0.76,66.0
177,1,50,0.66,73.91
